Open,High,Low,LTP
0.308396947,0.292701279,0.275019099,0.290839695
0.290839695,0.275395034,0.263559969,0.259541985
0.259541985,0.245297216,0.209320092,0.205343511
0.205343511,0.192626035,0.160427807,0.173282443
0.173282443,0.179834462,0.186401833,0.182442748
0.182442748,0.22648608,0.195569137,0.229770992
0.229770992,0.252069225,0.221543163,0.236641221
0.236641221,0.245297216,0.240641711,0.246564885
0.246564885,0.236267871,0.236822002,0.23740458
0.23740458,0.224228743,0.201680672,0.203053435
0.203053435,0.218961625,0.197097021,0.217557252
0.217557252,0.259593679,0.230710466,0.253435115
0.253435115,0.260346125,0.210084034,0.20610687
0.20610687,0.212942062,0.196333079,0.200763359
0.200763359,0.188863807,0.177998472,0.174045802
0.174045802,0.176072235,0.160427807,0.15648855
0.15648855,0.170805117,0.145148969,0.164885496
0.164885496,0.154251317,0.138273491,0.145801527
0.145801527,0.154251317,0.152788388,0.148854962
0.148854962,0.155003762,0.158899924,0.154961832
0.154961832,0.145974417,0.150496562,0.146564885
0.146564885,0.136192626,0.12605042,0.135114504
0.135114504,0.137697517,0.134453782,0.133587786
0.133587786,0.142964635,0.135981665,0.141221374
0.141221374,0.147479308,0.151260504,0.148091603
0.148091603,0.154251317,0.152024446,0.15648855
0.15648855,0.167795335,0.160427807,0.167938931
0.167938931,0.161023326,0.156608098,0.153435115
0.153435115,0.161775771,0.156608098,0.15648855
0.15648855,0.178329571,0.166539343,0.171755725
0.171755725,0.174567344,0.169595111,0.171755725
0.171755725,0.184349135,0.175706646,0.179389313
0.179389313,0.188111362,0.189457601,0.188549618
0.188549618,0.191121144,0.182582124,0.184732824
0.184732824,0.188111362,0.18105424,0.182442748
0.182442748,0.188863807,0.18487395,0.190839695
0.190839695,0.188111362,0.187929717,0.190839695
0.190839695,0.198645598,0.187165775,0.197709924
0.197709924,0.191873589,0.189457601,0.191603053
0.191603053,0.187358916,0.186401833,0.187022901
0.187022901,0.20165538,0.198624905,0.204580153
0.204580153,0.191873589,0.190985485,0.193129771
0.193129771,0.181339353,0.187929717,0.183969466
0.183969466,0.203160271,0.183346066,0.20610687
0.20610687,0.212942062,0.200152788,0.197709924
0.197709924,0.232505643,0.198624905,0.22519084
0.22519084,0.240030098,0.229182582,0.236641221
0.236641221,0.244544771,0.231474408,0.241221374
0.241221374,0.240030098,0.247517189,0.24351145
0.24351145,0.229495862,0.225362872,0.228244275
0.228244275,0.221971407,0.221543163,0.217557252
0.217557252,0.233258089,0.213903743,0.230534351
0.230534351,0.229495862,0.23605806,0.232824427
0.232824427,0.231000752,0.233766234,0.229770992
0.229770992,0.235515425,0.236822002,0.238931298
0.238931298,0.237020316,0.23223835,0.232824427
0.232824427,0.237020316,0.233766234,0.232061069
0.232061069,0.236267871,0.229182582,0.229007634
0.229007634,0.229495862,0.218487395,0.219847328
0.219847328,0.216704289,0.213903743,0.211450382
0.211450382,0.200902935,0.198624905,0.202290076
0.202290076,0.206922498,0.203972498,0.2
0.2,0.211437171,0.198624905,0.214503817
